,open,high,low,close,volume,is_trading_day,days_since_last_trading,pct_change
2016-08-18,71.91,73.67,71.05,71.32,129250,1,1.0,9.436857449746805
2016-08-19,72.5,72.97,71.61,72.97,65770,1,1.0,2.3135165451486417
2016-08-22,72.77,75.95,72.7,75.92,169585,1,3.0,4.042757297519528
2016-08-23,75.34,75.34,73.99,73.99,35825,1,1.0,-2.5421496311907377
2016-08-24,74.13,75.22,74.13,74.6,17330,1,1.0,0.8244357345587261
2016-08-25,74.42,74.85,74.06,74.57,19455,1,1.0,-0.040214477211797384
2016-08-26,74.17,75.0,74.17,74.91,14130,1,1.0,0.4559474319431489
2016-08-29,74.24,74.44,73.51,74.31,19195,1,3.0,-0.8009611533840499
2016-08-30,74.29,75.1,74.29,74.7,48730,1,1.0,0.5248284214775856
2016-08-31,74.66,75.12,74.11,74.11,42315,1,1.0,-0.789825970548863
2016-09-01,74.63,75.47,74.47,74.47,28440,1,1.0,0.4857644042639331
2016-09-02,75.02,75.57,74.49,75.57,27260,1,1.0,1.477104874446078
2016-09-05,75.47,76.27,75.47,76.27,28525,1,3.0,0.9262935027127162
2016-09-06,76.03,76.27,75.78,75.89,17640,1,1.0,-0.49822997246623535
2016-09-07,75.62,76.43,75.62,76.43,14000,1,1.0,0.7115561997628195
2016-09-08,76.3,76.44,75.43,75.48,20880,1,1.0,-1.242967421169705
2016-09-09,75.99,76.06,73.78,74.24,34825,1,1.0,-1.642819289878128
2016-09-12,72.78,74.0,72.51,73.93,33340,1,3.0,-0.4175646551723977
2016-09-13,74.86,74.86,73.27,74.72,15320,1,1.0,1.0685783849587294
2016-09-14,73.81,74.27,73.66,74.07,23380,1,1.0,-0.8699143468950843
2016-09-15,73.91,74.09,73.37,73.99,26835,1,1.0,-0.1080059403267164
2016-09-16,73.96,74.0,73.0,73.0,20245,1,1.0,-1.3380186511690706
2016-09-19,74.29,74.45,73.89,74.28,10730,1,3.0,1.7534246575342527
2016-09-20,74.2,75.0,74.19,74.19,23590,1,1.0,-0.12116316639741997
2016-09-21,75.26,75.28,73.56,73.56,5455,1,1.0,-0.8491710473109482
2016-09-22,74.57,75.14,74.27,74.27,24380,1,1.0,0.9651984774333711
2016-09-23,74.15,74.23,73.7,73.7,16885,1,1.0,-0.767470041739593
2016-09-26,73.49,73.58,73.3,73.52,19905,1,3.0,-0.24423337856174232
2016-09-27,73.7,73.7,72.17,72.59,52910,1,1.0,-1.264961915125129
2016-09-28,72.93,73.51,72.93,73.51,12310,1,1.0,1.2673922027827578
2016-09-29,73.91,74.14,72.97,73.13,19615,1,1.0,-0.516936471228413
2016-09-30,72.4,73.49,72.26,73.49,9285,1,1.0,0.49227403254479274
2016-10-04,74.12,74.7,73.55,74.7,27565,1,4.0,1.646482514627845
2016-10-05,73.87,74.6,73.83,74.3,5690,1,1.0,-0.5354752342704217
2016-10-06,74.9,75.59,74.78,75.4,46940,1,1.0,1.4804845222072816
2016-10-07,74.69,74.69,73.41,73.74,12130,1,1.0,-2.2015915119363516
2016-10-10,73.98,74.09,73.57,74.0,7730,1,3.0,0.3525901817195587
2016-10-11,73.22,73.56,70.69,71.04,35550,1,1.0,-3.9999999999999925
2016-10-12,70.38,71.39,70.21,70.97,18390,1,1.0,-0.09853603603604544
2016-10-13,70.46,70.46,69.41,69.73,46065,1,1.0,-1.7472171340002784
2016-10-14,70.68,71.59,70.66,71.13,23735,1,1.0,2.0077441560304
2016-10-17,71.17,71.84,71.13,71.84,2490,1,3.0,0.9981723604667536
2016-10-18,72.14,72.61,72.0,72.01,15585,1,1.0,0.2366369710467664
2016-10-19,72.19,72.81,72.13,72.81,11880,1,1.0,1.1109568115539536
2016-10-20,73.58,73.58,72.49,73.09,22050,1,1.0,0.3845625600878977
2016-10-21,72.8,73.49,72.8,73.46,13335,1,1.0,0.5062252018059876
2016-10-24,73.66,73.98,73.4,73.4,21780,1,3.0,-0.08167710318539578
2016-10-25,73.57,74.64,72.8,72.83,12835,1,1.0,-0.7765667574932023
2016-10-26,72.6,72.89,72.09,72.87,17280,1,1.0,0.054922422078829136
2016-10-27,72.34,72.86,71.88,72.56,32445,1,1.0,-0.42541512282147087
2016-10-28,72.21,74.5,72.21,73.35,2890,1,1.0,1.088754134509351
2016-10-31,72.3,73.29,72.3,73.29,7935,1,3.0,-0.08179959100202971
2016-11-01,73.38,73.48,69.57,71.1,9900,1,1.0,-2.988129349160884
2016-11-02,69.69,69.82,67.93,68.16,18145,1,1.0,-4.13502109704641
2016-11-03,67.81,68.26,66.71,67.38,15950,1,1.0,-1.1443661971830998
2016-11-04,67.17,67.26,66.7,67.23,29900,1,1.0,-0.22261798753338002
2016-11-07,69.37,69.58,69.0,69.57,12285,1,3.0,3.480589022757674
2016-11-08,72.17,72.17,63.31,64.05,138090,1,1.0,-7.934454506252687
2016-11-09,57.35,60.11,56.42,58.98,130655,1,1.0,-7.9156908665105385
2016-11-10,59.84,59.84,57.11,57.75,71415,1,1.0,-2.085452695829093
2016-11-11,57.2,58.65,56.84,57.83,29635,1,1.0,0.13852813852812673
2016-11-14,58.81,59.0,58.21,58.57,56695,1,3.0,1.2796126577900857
2016-11-15,58.83,59.38,58.75,59.3,24380,1,1.0,1.246371862728357
2016-11-16,59.31,59.33,58.65,59.2,19280,1,1.0,-0.1686340640809303
2016-11-17,59.25,59.95,59.01,59.29,30655,1,1.0,0.15202702702701298
2016-11-18,59.88,59.88,59.06,59.29,23310,1,1.0,0.0
2016-11-21,59.48,60.02,58.71,59.27,35735,1,3.0,-0.0337325012649603
2016-11-22,59.45,59.45,57.99,58.3,22475,1,1.0,-1.6365783701704162
2016-11-23,57.8,59.55,57.8,59.48,24080,1,1.0,2.024013722126927
2016-11-24,59.59,62.41,59.59,61.78,32700,1,1.0,3.8668459986550108
2016-11-25,62.0,63.36,61.7,62.8,35280,1,1.0,1.6510197474910893
2016-11-28,63.67,64.28,63.33,63.35,58765,1,3.0,0.8757961783439461
2016-11-29,63.24,63.67,62.75,62.85,20085,1,1.0,-0.7892659826361448
2016-11-30,62.58,62.77,62.09,62.22,17330,1,1.0,-1.0023866348448762
2016-12-01,62.45,62.79,60.28,60.28,23560,1,1.0,-3.1179684988749568
2016-12-02,60.05,60.06,58.78,59.37,26705,1,1.0,-1.5096217650962251
2016-12-05,58.73,59.61,58.55,59.13,37045,1,3.0,-0.4042445679636075
2016-12-06,57.65,58.26,57.04,57.48,77895,1,1.0,-2.790461694571289
2016-12-07,57.66,57.78,56.55,57.14,45440,1,1.0,-0.5915100904662407
2016-12-08,55.97,56.02,54.5,55.0,86625,1,1.0,-3.74518725936297
2016-12-09,54.07,54.15,52.81,53.17,70920,1,1.0,-3.327272727272723
2016-12-12,53.77,54.3,52.94,53.33,68935,1,3.0,0.3009215723152048
2016-12-13,53.81,55.5,53.71,55.15,83065,1,1.0,3.4127132945809047
2016-12-14,54.79,56.44,53.95,56.22,44375,1,1.0,1.9401631912964623
2016-12-15,56.45,57.22,56.32,57.02,37255,1,1.0,1.4229811454998353
2016-12-16,58.18,58.41,57.36,58.32,26675,1,1.0,2.279901788846006
2016-12-19,58.15,58.15,57.2,57.73,21760,1,3.0,-1.0116598079561112
2016-12-20,57.63,58.53,57.63,58.21,40560,1,1.0,0.831456781569373
2016-12-21,58.34,59.22,58.21,58.8,41860,1,1.0,1.013571551279835
2016-12-22,59.06,59.74,58.79,58.79,25950,1,1.0,-0.01700680272108679
2016-12-23,59.28,59.52,58.79,58.82,18475,1,1.0,0.05102908657934613
2016-12-27,59.31,59.31,58.99,59.05,4885,1,4.0,0.3910234614076691
2016-12-28,59.64,60.49,59.21,60.39,18285,1,1.0,2.2692633361558023
2016-12-29,59.6,60.43,59.6,60.3,16825,1,1.0,-0.14903129657228842
2016-12-30,60.67,61.07,60.21,61.0,12315,1,1.0,1.1608623548922115
2017-01-02,62.29,64.73,62.2,64.2,45690,1,3.0,5.245901639344264
2017-01-03,66.18,66.21,63.3,63.85,84425,1,1.0,-0.5451713395638658
2017-01-04,63.2,63.81,62.25,62.25,52880,1,1.0,-2.5058731401722767
2017-01-05,62.86,63.0,62.3,62.32,42610,1,1.0,0.11244979919677878
2017-01-06,62.33,64.83,62.0,63.21,53145,1,1.0,1.428112965340178
2017-01-09,63.87,64.36,63.33,63.42,30975,1,3.0,0.33222591362125353
2017-01-10,63.92,64.11,63.37,63.56,22195,1,1.0,0.22075055187638082
2017-01-11,64.2,65.23,64.07,64.07,56750,1,1.0,0.8023914411579458
2017-01-12,64.15,64.15,63.14,63.14,29955,1,1.0,-1.4515373809895316
2017-01-13,63.93,64.41,63.63,64.07,21100,1,1.0,1.4729173265758622
2017-01-16,64.1,64.52,64.0,64.32,18615,1,3.0,0.390198220696103
2017-01-17,63.97,63.97,63.15,63.68,15065,1,1.0,-0.995024875621886
