,price,market_cap,total_volume,is_trading_day,days_since_last_trading
2024-11-27,91931.83077291827,1819990514406.0881,97389239315.52954,1,1.0
2024-11-29,95661.59595817851,1892297852304.72,49067932024.40325,1,2.0
2024-12-02,97311.70719084324,1925808416477.5068,49147687432.565895,1,3.0
2024-12-03,95833.1362300365,1896576914275.523,101019861361.49252,1,1.0
2024-12-04,96031.63097759831,1900922167493.3643,87935752287.975,1,1.0
2024-12-05,98881.4694561823,1957276192604.2603,98230784298.0459,1,1.0
2024-12-06,97201.50036407741,1920742551503.6094,190460293531.53802,1,1.0
2024-12-09,101235.3717025316,2003238967638.8286,62677764785.05408,1,3.0
2024-12-10,97353.94700820887,1926047690157.6282,146846843211.51685,1,1.0
2024-12-11,96649.71446771531,1913115778728.2837,125835977742.51114,1,1.0
2024-12-12,101123.61811033697,2001746436338.842,118484957960.76833,1,1.0
2024-12-13,100000.80836535197,1979166149963.3093,100092043319.81221,1,1.0
2024-12-16,104721.50151808978,2075487816560.1924,70645074624.52869,1,3.0
2024-12-17,106074.10723541168,2097460193710.789,115184737759.33566,1,1.0
2024-12-18,106034.913402645,2100629850064.9119,93417826250.1972,1,1.0
2024-12-19,100355.5761481501,1985284833093.572,113692025885.44745,1,1.0
2024-12-20,97851.35377075805,1937022229972.2085,100611554887.24123,1,1.0
2024-12-23,95094.27394862173,1884599149192.4587,44619017105.36954,1,3.0
2024-12-24,94644.91085464321,1874912975786.6604,64937790292.61125,1,1.0
2024-12-26,99344.95417367229,1966481159354.1177,33963749856.44743,1,2.0
2024-12-27,95678.31244565405,1894744251986.1084,45049342388.18843,1,1.0
2024-12-30,93663.44751964067,1854872605738.8086,24065314499.502274,1,3.0
2024-12-31,92627.28213113277,1833188187477.531,57595164139.4709,1,1.0
2025-01-02,94384.1761153871,1869193319140.2422,23275007789.496334,1,2.0
2025-01-03,96852.14681235075,1917905016063.62,45157338602.617516,1,1.0
2025-01-06,98364.58946599838,1948339898718.8586,20060293834.7155,1,3.0
2025-01-07,102229.39453189743,2024825178619.8228,46111387334.46171,1,1.0
2025-01-08,96952.09886774956,1919133187081.3127,60610257147.15405,1,1.0
2025-01-09,95016.71440989176,1885313354913.7239,65790469838.34392,1,1.0
2025-01-10,92376.27578346101,1832933628117.9436,65850881574.76184,1,1.0
2025-01-13,94454.77089638807,1870314882306.9236,19608932595.53299,1,3.0
2025-01-14,94456.3493746993,1870609367804.8223,76328330233.31137,1,1.0
2025-01-15,96574.07768799194,1912603332624.1123,51241728228.81719,1,1.0
2025-01-16,100313.15239828422,1986831430651.8647,57637319739.543396,1,1.0
2025-01-17,100044.57926776377,1980935754458.284,50150102497.2729,1,1.0
2025-01-21,101764.90860170545,2017837068202.1384,120158523166.88387,1,4.0
2025-01-22,106182.2368201815,2098829000928.49,95344290057.8965,1,1.0
2025-01-23,103673.53509537787,2054288661793.9773,55030669602.56557,1,1.0
2025-01-24,104067.60991206947,2062360759045.0,102455227371.20761,1,1.0
2025-01-27,102552.24874280207,2036324005947.406,20639818380.26942,1,3.0
2025-01-28,101958.46953745594,2019295541213.5288,93191643783.24739,1,1.0
2025-01-29,101313.11264498268,2007072201507.5273,45780526813.56264,1,1.0
2025-01-30,103718.97939813645,2056581551171.7,47425401641.53094,1,1.0
2025-01-31,104781.5135100103,2076760153260.6191,42122570869.034325,1,1.0
2025-02-03,97568.31653024875,1933691439792.2544,59784234332.21204,1,3.0
2025-02-04,101466.8606657039,2011121374511.8835,122163969235.23686,1,1.0
2025-02-05,98118.43921664466,1943535291172.1597,73196693057.98114,1,1.0
2025-02-06,96582.88682919052,1912584628590.309,48848958931.79228,1,1.0
2025-02-07,96635.41875332211,1915093756057.5637,44462180396.172516,1,1.0
2025-02-10,96548.57865379585,1913068773356.083,25457107581.051964,1,3.0
2025-02-11,97399.98161383197,1930742951090.367,37054987393.57789,1,1.0
2025-02-12,95739.97737079239,1898788887978.3252,36454577154.5622,1,1.0
2025-02-13,97836.18856127483,1936842454813.9983,47115618235.19051,1,1.0
2025-02-14,96561.6639990985,1914315097486.3862,29084371910.690556,1,1.0
2025-02-18,95776.15723852723,1898997753781.9536,25324374113.08163,1,4.0
2025-02-19,95495.89153299287,1892702154844.508,38311133144.729355,1,1.0
2025-02-20,96554.87156259285,1914337919659.5537,27703222487.389572,1,1.0
2025-02-21,98384.31738240314,1950376106325.3228,24175261969.81266,1,1.0
2025-02-24,96327.46309127835,1909625674815.4763,16643044374.983364,1,3.0
2025-02-25,91396.76686930266,1814176779160.4363,45539703844.38777,1,1.0
2025-02-26,88755.7693356979,1759750360550.3337,96742453402.56294,1,1.0
2025-02-27,83900.11496524839,1664314955447.7466,69277430795.68657,1,1.0
2025-02-28,84709.14477847965,1679555320077.2097,305190442156.92804,1,1.0
2025-03-03,94261.53286538439,1868321705444.4878,61859112550.80991,1,3.0
2025-03-04,86124.71418722175,1708198960874.3418,68715362745.4567,1,1.0
2025-03-05,87310.80531078295,1731441668069.6523,65863356680.42408,1,1.0
2025-03-06,90604.08098523637,1797706868227.531,51606642859.81411,1,1.0
2025-03-07,90001.40087607042,1782785866811.654,47555759124.64708,1,1.0
2025-03-10,80751.13893300897,1602073794580.0344,32013406240.51754,1,3.0
2025-03-11,78783.94057934263,1563547150147.7332,49983692766.22745,1,1.0
2025-03-12,82799.1080292053,1642997419531.6057,56404462275.083046,1,1.0
2025-03-13,83884.24578828987,1662502658717.542,41782186208.59073,1,1.0
2025-03-14,81098.90052436228,1608477373718.186,32583592654.882656,1,1.0
2025-03-17,82610.61750343916,1638672153483.722,21638031633.118767,1,3.0
2025-03-18,84075.36559694471,1667799227887.438,19659366246.596867,1,1.0
2025-03-19,82780.03048688271,1642578274105.806,24557570268.85276,1,1.0
2025-03-20,86815.44109470697,1721565138141.278,33871216993.304657,1,1.0
2025-03-21,84270.84358966233,1672550706502.8184,27579127651.06656,1,1.0
2025-03-24,85787.70914901773,1702009594329.4495,12617587530.619724,1,3.0
2025-03-25,87327.72969669085,1732715331970.134,27270889835.1835,1,1.0
2025-03-26,87520.58391530563,1735368473904.4885,30351832942.705593,1,1.0
2025-03-27,86960.8555491039,1724854479045.6724,25522877558.700558,1,1.0
2025-03-28,87227.27158032371,1729729987159.4822,24620445368.489468,1,1.0
2025-03-31,82356.38111183756,1633996304187.2593,13428975108.070734,1,3.0
2025-04-01,82514.09365397849,1635076581047.3545,30326148749.91535,1,1.0
2025-04-02,85237.5876052852,1690602036035.04,29172899851.734768,1,1.0
2025-04-03,82526.4221526433,1637358764747.381,46332905657.77597,1,1.0
2025-04-04,83163.98757387721,1652537223074.958,36594464539.14662,1,1.0
2025-04-07,78211.48358199988,1555325260787.2627,36140377231.68329,1,3.0
2025-04-08,79179.29226757778,1581407565278.352,82909748172.59216,1,1.0
2025-04-09,76329.090356324,1515042499757.3254,47812787635.22632,1,1.0
2025-04-10,82622.17029546302,1640567909122.172,87408220482.11568,1,1.0
