,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree_method,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
136,1.3650206804275513,0.5397057326152628,0.004273533821105957,0.0014829361330804447,approx,0.7,1.0,0.1,2000,7,4,0.0005,0.5,0.8,0.7,"{'tree_method': 'approx', 'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 2000, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.0005, 'gamma': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7}",-0.002855767254442006,-0.021956513226168838,-0.0073262412279734715,-8.55257956480441e-05,-0.0011280216000518664,-0.001686134656283475,-0.0026707249253184046,-0.0858569283487228,-0.0026829783727295455,-0.002804773906979636,-0.012905360931431808,0.02505227959025073,60
137,0.7169389247894287,0.2219657639132165,0.00309901237487793,0.0008259804773705489,hist,0.8,10.0,0.0,2000,2,8,0.01,0.01,0.8,0.9,"{'tree_method': 'hist', 'subsample': 0.8, 'reg_lambda': 10.0, 'reg_alpha': 0, 'n_estimators': 2000, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.01, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9}",-0.00042417353934646784,-0.009734739350390677,-0.0015636762129259487,-0.00010035626405821403,-7.369753635088577e-05,-0.0005217968083929481,-0.0002418884649589917,-0.05778015287524335,-1.6247135235442255e-05,-7.566861715828009e-06,-0.007046429504861876,0.017145731658926484,1
138,0.13713462352752687,0.044989185989248504,0.0013582468032836913,0.00040030194648447634,approx,0.8,2.0,0.01,500,2,6,0.05,0.3,0.7,0.7,"{'tree_method': 'approx', 'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.01, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7}",-0.001253649414501871,-0.01722339288421507,-0.0025993273323005016,-9.577501657969465e-05,-0.00015611406607955007,-0.00027934537550481807,-0.0003503898916712207,-0.06690408370346745,-8.9483876293324e-05,-8.176336474700541e-05,-0.00890333249253605,0.019971693887438326,29
139,1.6732245922088622,0.6038923403434227,0.007079029083251953,0.0024355850147253326,hist,0.6,1.5,5.0,3000,10,8,0.005,0.0,0.8,1.0,"{'tree_method': 'hist', 'subsample': 0.6, 'reg_lambda': 1.5, 'reg_alpha': 5.0, 'n_estimators': 3000, 'min_child_weight': 10, 'max_depth': 8, 'learning_rate': 0.005, 'gamma': 0, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0}",-0.002887882619634603,-0.017359555112365987,-0.002923224620218452,-0.00011164486532339202,-5.7935770804193964e-05,-0.00015407249258205565,-0.0002336386319692046,-0.0660005577762238,-1.563069443891834e-05,-5.970534274911355e-06,-0.00897501131178355,0.019669517113160756,34
140,0.009709739685058593,0.004869739934083193,0.0,0.0,gpu_hist,0.6,0.1,5.0,500,5,9,0.05,0.1,0.9,0.5,"{'tree_method': 'gpu_hist', 'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 5.0, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5}",,,,,,,,,,,,,84
141,0.2482651948928833,0.07820191116722183,0.0023692846298217773,0.0010596921913773626,hist,0.6,0.1,1.0,1000,2,9,0.01,0.5,0.7,0.6,"{'tree_method': 'hist', 'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 1.0, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 9, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6}",-0.004067946393107172,-0.021904386010079536,-0.006558190152658567,-6.787155272339558e-05,-0.0002503378292066205,-0.0004158914614007941,-0.0007700279041087657,-0.07393313349732289,-0.0001851318131679772,-0.00022850690229240527,-0.010838142351606813,0.021981207378713393,56
142,0.4015606641769409,0.10583624621872263,0.0020921707153320314,0.0004916527303712307,hist,0.7,0.5,0.0,2000,5,8,0.1,0.05,0.9,0.5,"{'tree_method': 'hist', 'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 2000, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.05, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5}",-0.0003643480207425035,-0.012560576982583288,-0.0014956933833976827,-8.188497862530222e-05,-8.605714855839937e-05,-0.00016410285111398507,-0.0001345625034519506,-0.059571039897127455,-3.102234456790944e-05,-1.7617490114505994e-05,-0.0074506905600282974,0.01775888301409299,5
143,0.46257288455963136,0.14394430881095388,0.002440619468688965,0.0018099104130241273,approx,1.0,0.1,5.0,500,3,4,0.001,0.01,0.9,0.8,"{'tree_method': 'approx', 'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 5.0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.001, 'gamma': 0.01, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8}",-0.006320213881654658,-0.026706023339875002,-0.015775498641320926,-0.0003193029678072636,-0.0031661907262261336,-0.004917749571526377,-0.006861420174380897,-0.1045272074108756,-0.007255971919751631,-0.008062971996516953,-0.018391255062993543,0.02957131771901965,72
144,0.8753825902938843,0.3434184298847139,0.0034940958023071287,0.002044066945883399,hist,0.5,0.01,0.01,1000,3,9,0.005,0.01,1.0,1.0,"{'tree_method': 'hist', 'subsample': 0.5, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 9, 'learning_rate': 0.005, 'gamma': 0.01, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0}",-0.0005484941229673077,-0.010135553510056232,-0.0028624972884115983,-8.787593068616207e-05,-0.00010891182596857595,-0.0005648204720776213,-0.0003207357638881443,-0.06093490501026576,-1.6596221012999482e-05,-9.10564763621374e-06,-0.007558949579297061,0.018037049311290305,7
145,0.3297393560409546,0.15415738165309414,0.0013725757598876953,0.0001838156529975044,approx,1.0,0.1,0.5,500,10,7,0.0001,0.5,0.7,0.5,"{'tree_method': 'approx', 'subsample': 1.0, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.0001, 'gamma': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5}",-0.010305592244257594,-0.03394390833146657,-0.029507609395676804,-0.0007333820815514165,-0.007574263387331888,-0.011186477125308505,-0.0159547858175622,-0.12734693757744145,-0.019280218825248992,-0.01975348899486547,-0.02755866637807109,0.03457030761080896,82
146,3.7023618698120115,1.2481122115891645,0.011202120780944824,0.0037395855868079405,hist,0.7,1.5,1.0,3000,10,9,0.0005,0.0,1.0,1.0,"{'tree_method': 'hist', 'subsample': 0.7, 'reg_lambda': 1.5, 'reg_alpha': 1.0, 'n_estimators': 3000, 'min_child_weight': 10, 'max_depth': 9, 'learning_rate': 0.0005, 'gamma': 0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0}",-0.001694835081221314,-0.017328138221032033,-0.005605271399982451,-5.468975802969711e-05,-0.0005714628791979676,-0.001076974036555214,-0.0011306919148461661,-0.07313217604980618,-0.0011665312904776488,-0.0010833923882384129,-0.01028441630193871,0.0215185532206127,50
147,0.01075289249420166,0.006055461473708816,0.0,0.0,gpu_hist,0.8,0.1,0.5,500,3,7,0.05,0.5,0.6,1.0,"{'tree_method': 'gpu_hist', 'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0}",,,,,,,,,,,,,84
148,1.3512028932571412,0.2822685410907905,0.004513692855834961,0.0009432971276954555,approx,0.8,1.5,5.0,5000,5,2,0.1,0.3,1.0,1.0,"{'tree_method': 'approx', 'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 5.0, 'n_estimators': 5000, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0}",-0.0056706118691512986,-0.022261139755209887,-0.005413949451138519,-8.364071018653444e-05,-0.00013721842166018942,-0.0002619411271043627,-0.0006606547768608033,-0.07280509332088075,-8.863104676228541e-05,-0.0001255852024793034,-0.010750846568143395,0.021684912161761254,55
149,1.0252897500991822,0.345262591247586,0.004327988624572754,0.0023722420275609957,approx,0.8,1.0,2.0,3000,7,5,0.001,0.5,0.8,0.5,"{'tree_method': 'approx', 'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 2.0, 'n_estimators': 3000, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5}",-0.004318111341209558,-0.021649222117453227,-0.005180133927377748,-6.747483929546779e-05,-0.0002083456020779264,-0.00030686813897970515,-0.0007107804820170651,-0.07362127039979992,-0.00014569408111389737,-0.0001855588818992412,-0.010639345981122374,0.021915762168192528,53
